epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.272,1.49326,5.76558,0.83064,0.00062,0.11364,7e-05,5e-05,1.39438,5.02744,0.79198,0.0001,0.0001,0.0001
2,15.9705,1.39942,5.43587,0.80282,0.00123,0.22727,0.00893,0.00134,1.47404,4.6553,0.7509,0.000217822,0.000217822,0.000217822
3,17.7391,1.41876,3.73923,0.79421,0.00222,0.40909,0.00173,0.00066,1.39154,4.69612,0.73997,0.000333268,0.000333268,0.000333268
4,18.8914,1.37292,2.93083,0.78955,0.00198,0.36364,0.00137,0.00047,1.44327,4.71536,0.74691,0.000446338,0.000446338,0.000446338
5,19.8573,1.42305,3.08653,0.808,0.00198,0.36364,0.00132,0.00053,1.43681,4.72885,0.75471,0.000557032,0.000557032,0.000557032
6,20.8248,1.39909,2.88344,0.80614,0.00284,0.52273,0.00238,0.00085,1.41877,4.62085,0.767,0.00066535,0.00066535,0.00066535
7,21.8219,1.29767,2.76106,0.79542,0.00321,0.59091,0.00313,0.00088,1.36248,4.54231,0.75892,0.000771292,0.000771292,0.000771292
8,22.7624,1.36703,2.33173,0.79113,0.00173,0.31818,0.00082,0.00027,1.43744,4.67392,0.76597,0.000874858,0.000874858,0.000874858
9,23.7174,1.22126,2.06598,0.8343,0.00148,0.27273,0.00056,0.00023,1.4951,4.6639,0.77486,0.000976048,0.000976048,0.000976048
10,24.6532,1.23534,2.10521,0.80044,0.00173,0.31818,0.00094,0.00039,1.36658,4.58425,0.7771,0.00107486,0.00107486,0.00107486
11,25.6254,1.26807,2.19921,0.81332,0.00185,0.34091,0.0011,0.00051,1.48196,4.494,0.78784,0.0011713,0.0011713,0.0011713
12,26.5245,1.21905,2.12338,0.79646,0.00309,0.56818,0.00334,0.00174,1.3634,4.28223,0.7846,0.00126536,0.00126536,0.00126536
13,27.473,1.15921,2.11296,0.81931,0.00296,0.54545,0.00396,0.00211,1.47947,4.10601,0.7926,0.00135705,0.00135705,0.00135705
14,28.3947,1.4303,2.13331,0.79481,0.00309,0.56818,0.00484,0.00264,1.40628,3.90184,0.78946,0.00144636,0.00144636,0.00144636
15,29.3178,1.15934,1.96948,0.79862,0.00333,0.61364,0.02098,0.01518,1.36644,3.64694,0.80164,0.00153329,0.00153329,0.00153329
16,30.2414,1.17545,1.83007,0.8047,0.38465,0.04545,0.08968,0.06385,1.50549,3.43199,0.81861,0.00161785,0.00161785,0.00161785
17,31.141,1.2941,1.94403,0.79756,0.30589,0.04545,0.32276,0.19916,1.42431,3.24709,0.81505,0.0016832,0.0016832,0.0016832
18,32.0449,1.2101,1.71558,0.78971,1,0.23228,0.69947,0.40839,1.3388,2.63957,0.81911,0.0016634,0.0016634,0.0016634
19,32.9125,1.18834,1.52668,0.80571,0.884,0.17382,0.67672,0.3708,1.40232,2.53774,0.80703,0.0016436,0.0016436,0.0016436
20,33.8078,1.22042,1.57462,0.80353,0.90523,0.65145,0.87061,0.47458,1.29221,1.95912,0.78993,0.0016238,0.0016238,0.0016238
21,34.6816,1.09429,1.52458,0.80325,0.91787,0.63636,0.85288,0.48427,1.24367,1.92397,0.78582,0.001604,0.001604,0.001604
22,35.6072,1.18191,1.59616,0.81432,0.75428,0.72727,0.817,0.46921,1.26608,1.50407,0.78578,0.0015842,0.0015842,0.0015842
23,36.4972,1.25473,1.47035,0.78231,0.78044,0.79545,0.79043,0.40505,1.38288,1.45552,0.78826,0.0015644,0.0015644,0.0015644
24,37.4416,1.08477,1.38076,0.80641,0.78858,0.79545,0.78311,0.4458,1.29234,1.37993,0.78644,0.0015446,0.0015446,0.0015446
25,38.3157,1.16823,1.43249,0.78678,0.83466,0.80321,0.8737,0.51241,1.16453,1.25537,0.79031,0.0015248,0.0015248,0.0015248
26,39.2399,1.1558,1.33902,0.78021,0.83998,0.83519,0.86806,0.52409,1.24614,1.18025,0.79858,0.001505,0.001505,0.001505
27,40.0952,1.19125,1.44102,0.808,0.83373,0.79781,0.892,0.53327,1.22834,1.29103,0.78646,0.0014852,0.0014852,0.0014852
28,40.9562,1.21504,1.30801,0.74888,0.82181,0.90909,0.89597,0.54562,1.08374,0.96491,0.77353,0.0014654,0.0014654,0.0014654
29,41.8514,1.14551,1.32771,0.80921,0.81502,0.90133,0.89354,0.5622,1.07871,1.00573,0.7833,0.0014456,0.0014456,0.0014456
30,42.7633,1.08851,1.25156,0.78665,0.85751,0.75,0.86388,0.53888,1.23196,1.12524,0.78532,0.0014258,0.0014258,0.0014258
31,43.6607,1.13005,1.212,0.76918,0.90612,0.75,0.87382,0.56303,1.20369,1.07233,0.77887,0.001406,0.001406,0.001406
32,44.5755,1.10969,1.33088,0.76427,0.79612,0.86364,0.87965,0.57725,1.06437,0.97443,0.7736,0.0013862,0.0013862,0.0013862
33,45.4672,0.98275,1.10346,0.78848,0.82456,0.86364,0.87544,0.55664,1.05493,0.96942,0.77512,0.0013664,0.0013664,0.0013664
34,46.3645,1.14287,1.1622,0.77781,0.79813,0.89867,0.89668,0.5557,1.07428,1.02975,0.78028,0.0013466,0.0013466,0.0013466
35,47.2577,1.03592,1.16944,0.76173,0.81368,0.89337,0.90201,0.57294,1.05191,1.00491,0.77742,0.0013268,0.0013268,0.0013268
36,48.1351,0.96255,1.15719,0.79365,0.83226,0.90223,0.88769,0.56958,1.07504,0.99512,0.77943,0.001307,0.001307,0.001307
37,48.9785,1.15693,1.1544,0.76907,0.82064,0.88636,0.86499,0.55398,1.07984,0.97229,0.78143,0.0012872,0.0012872,0.0012872
38,49.8328,1.01213,1.05696,0.74429,0.84023,0.90909,0.8832,0.57569,1.06044,0.96589,0.77947,0.0012674,0.0012674,0.0012674
39,50.6845,1.0073,1.04366,0.78997,0.84341,0.93182,0.89137,0.57006,1.03129,0.9294,0.7787,0.0012476,0.0012476,0.0012476
40,51.5479,0.97154,1.03413,0.77485,0.83163,0.93182,0.89309,0.59744,1.03263,0.87698,0.78229,0.0012278,0.0012278,0.0012278
41,52.3973,0.95429,0.93883,0.77535,0.86644,0.88464,0.89591,0.58714,0.98365,0.85241,0.78867,0.001208,0.001208,0.001208
42,53.2298,1.0062,1.03067,0.75258,0.84998,0.90145,0.91191,0.61477,0.98562,0.8196,0.78347,0.0011882,0.0011882,0.0011882
43,54.1199,1.02146,1.00184,0.77147,0.88694,0.89152,0.91659,0.59981,1.07144,0.83715,0.79036,0.0011684,0.0011684,0.0011684
44,55.0315,1.07102,0.95059,0.76457,0.86563,0.87857,0.91314,0.60758,0.99527,0.82644,0.78932,0.0011486,0.0011486,0.0011486
45,55.8978,0.97324,0.91162,0.78809,0.88306,0.85825,0.91785,0.63591,0.98106,0.82836,0.78737,0.0011288,0.0011288,0.0011288
46,56.7966,1.0337,0.90284,0.75983,0.83936,0.88636,0.91225,0.62312,1.01851,0.84747,0.78237,0.001109,0.001109,0.001109
47,57.6634,1.06881,0.96033,0.79951,0.86048,0.88636,0.91148,0.5997,1.04777,0.85993,0.78444,0.0010892,0.0010892,0.0010892
48,58.5433,1.14522,0.94521,0.78702,0.84139,0.88636,0.90742,0.612,0.93643,0.85225,0.7772,0.0010694,0.0010694,0.0010694
49,59.415,1.08844,0.92259,0.77732,0.84629,0.88636,0.9096,0.59948,0.91559,0.82843,0.77906,0.0010496,0.0010496,0.0010496
50,60.3101,1.05104,0.91224,0.75534,0.87739,0.86364,0.88339,0.58844,1.00024,0.81495,0.79198,0.0010298,0.0010298,0.0010298
51,61.1916,0.89554,0.82205,0.76698,0.8615,0.86364,0.89495,0.6057,1.00456,0.8032,0.79018,0.00101,0.00101,0.00101
52,62.0678,0.86572,0.7713,0.74917,0.89483,0.86364,0.91865,0.61652,0.93297,0.71954,0.77345,0.0009902,0.0009902,0.0009902
53,62.9266,0.89376,0.76981,0.79365,0.89567,0.86364,0.92465,0.62109,0.94734,0.70962,0.77742,0.0009704,0.0009704,0.0009704
54,63.8139,0.83096,0.7385,0.7684,0.86214,0.85289,0.91802,0.60005,1.01137,0.68939,0.78625,0.0009506,0.0009506,0.0009506
55,64.6709,0.93314,0.79259,0.78392,0.86333,0.86147,0.91456,0.60973,1.00026,0.65562,0.79118,0.0009308,0.0009308,0.0009308
56,65.5496,0.91525,0.77118,0.78404,0.88487,0.8735,0.89771,0.6038,0.96908,0.61124,0.78417,0.000911,0.000911,0.000911
57,66.4145,0.94109,0.80287,0.74678,0.84815,0.93182,0.90073,0.61568,0.97054,0.59453,0.78307,0.0008912,0.0008912,0.0008912
58,67.3084,0.98921,0.83229,0.76266,0.85334,0.92576,0.91067,0.60219,0.98273,0.62173,0.78171,0.0008714,0.0008714,0.0008714
59,68.1747,0.93921,0.78033,0.76828,0.82869,0.90909,0.90413,0.60624,0.9576,0.62705,0.78121,0.0008516,0.0008516,0.0008516
60,69.0528,0.96376,0.84275,0.75776,0.80335,0.92851,0.9047,0.62097,0.92948,0.59104,0.77453,0.0008318,0.0008318,0.0008318
61,69.9197,0.97072,0.78715,0.76414,0.80289,0.92584,0.9003,0.63741,0.93951,0.60236,0.77553,0.000812,0.000812,0.000812
62,70.8371,0.95103,0.75204,0.78422,0.82979,0.88635,0.89949,0.62094,0.93662,0.59237,0.77676,0.0007922,0.0007922,0.0007922
63,71.7242,0.92113,0.75405,0.77255,0.84167,0.88636,0.90731,0.6331,0.92828,0.58647,0.77556,0.0007724,0.0007724,0.0007724
64,72.6199,0.93478,0.75224,0.76798,0.8176,0.91699,0.91533,0.6366,0.90421,0.57086,0.77452,0.0007526,0.0007526,0.0007526
65,73.4919,0.81947,0.7254,0.73831,0.87878,0.82393,0.90545,0.64812,0.904,0.60098,0.7804,0.0007328,0.0007328,0.0007328
66,74.3988,0.82405,0.7399,0.76292,0.83194,0.90018,0.91622,0.65349,0.85268,0.58014,0.77991,0.000713,0.000713,0.000713
67,75.2683,0.84552,0.68425,0.75081,0.85055,0.90547,0.91895,0.65765,0.84728,0.56915,0.77793,0.0006932,0.0006932,0.0006932
68,76.1756,0.83911,0.74889,0.78332,0.8505,0.90513,0.9094,0.61886,0.90256,0.61446,0.77224,0.0006734,0.0006734,0.0006734
69,77.0383,0.95561,0.77946,0.77259,0.83656,0.93063,0.90715,0.6134,0.91166,0.59764,0.77076,0.0006536,0.0006536,0.0006536
70,77.9194,0.96363,0.72685,0.77278,0.85025,0.93182,0.9192,0.64075,0.86478,0.55874,0.77209,0.0006338,0.0006338,0.0006338
71,78.7656,0.81904,0.68565,0.77333,0.86983,0.93182,0.92759,0.67028,0.82507,0.54287,0.77452,0.000614,0.000614,0.000614
72,79.6415,0.83541,0.68028,0.78459,0.84538,0.93182,0.93306,0.65942,0.87141,0.53395,0.78155,0.0005942,0.0005942,0.0005942
73,80.5072,0.90391,0.68335,0.76689,0.84588,0.93182,0.93273,0.66981,0.87454,0.54603,0.7818,0.0005744,0.0005744,0.0005744
74,81.3906,0.8356,0.66458,0.77475,0.85386,0.92954,0.92855,0.67907,0.86876,0.53963,0.77271,0.0005546,0.0005546,0.0005546
75,82.2653,0.8283,0.70963,0.76464,0.90339,0.85019,0.9246,0.65165,0.88003,0.55638,0.77148,0.0005348,0.0005348,0.0005348
76,83.1508,0.94559,0.74049,0.76311,0.8494,0.90909,0.91008,0.65159,0.8653,0.59134,0.77279,0.000515,0.000515,0.000515
77,84.0287,0.83335,0.68403,0.78102,0.85099,0.90855,0.90347,0.6413,0.88682,0.59023,0.77414,0.0004952,0.0004952,0.0004952
78,84.9253,0.81522,0.65343,0.78066,0.85047,0.9049,0.88875,0.65771,0.86493,0.59456,0.78167,0.0004754,0.0004754,0.0004754
79,85.7857,0.91537,0.76749,0.75101,0.83323,0.90909,0.8951,0.6534,0.87807,0.60183,0.7821,0.0004556,0.0004556,0.0004556
80,86.7112,0.89981,0.70729,0.78428,0.84882,0.90909,0.9132,0.65513,0.91205,0.59161,0.78099,0.0004358,0.0004358,0.0004358
81,87.5937,0.93651,0.66333,0.77007,0.84659,0.90909,0.92395,0.66725,0.88983,0.55615,0.78078,0.000416,0.000416,0.000416
82,88.4893,0.86974,0.67086,0.75535,0.84655,0.93182,0.92894,0.66676,0.83395,0.53603,0.78041,0.0003962,0.0003962,0.0003962
83,89.3789,0.86552,0.65902,0.7648,0.84612,0.93182,0.92831,0.66257,0.82199,0.51804,0.7806,0.0003764,0.0003764,0.0003764
84,90.2612,0.83266,0.68363,0.76325,0.85412,0.93144,0.93478,0.66757,0.8295,0.53995,0.77447,0.0003566,0.0003566,0.0003566
85,91.1226,0.82491,0.66857,0.76148,0.84241,0.90909,0.93299,0.67169,0.83405,0.52762,0.77399,0.0003368,0.0003368,0.0003368
86,92.0169,0.7947,0.60868,0.75904,0.83898,0.86364,0.91697,0.6628,0.81394,0.55479,0.77526,0.000317,0.000317,0.000317
87,92.8735,0.85012,0.62943,0.79413,0.84883,0.84091,0.90318,0.66451,0.81311,0.57105,0.77317,0.0002972,0.0002972,0.0002972
88,93.7584,0.80515,0.63473,0.77936,0.85447,0.84091,0.89251,0.65894,0.82454,0.59646,0.77388,0.0002774,0.0002774,0.0002774
89,94.6233,0.78392,0.61453,0.76536,0.85258,0.84091,0.89445,0.66586,0.81435,0.58961,0.77351,0.0002576,0.0002576,0.0002576
90,95.511,0.83253,0.62577,0.75423,0.85725,0.81892,0.91033,0.68494,0.80245,0.57934,0.77368,0.0002378,0.0002378,0.0002378
91,98.9159,0.71082,0.67498,0.74841,0.87968,0.83096,0.90687,0.67178,0.80664,0.57512,0.77332,0.000218,0.000218,0.000218
92,100.665,0.71831,0.63279,0.75647,0.92271,0.81406,0.89319,0.63889,0.81464,0.60937,0.77505,0.0001982,0.0001982,0.0001982
93,101.831,0.75188,0.66175,0.76842,0.89964,0.81503,0.87842,0.64542,0.82028,0.6355,0.77645,0.0001784,0.0001784,0.0001784
94,103.296,0.6783,0.67761,0.77284,0.87518,0.81818,0.874,0.63608,0.83732,0.64997,0.77817,0.0001586,0.0001586,0.0001586
95,104.803,0.68385,0.63778,0.76996,0.88892,0.81818,0.8792,0.63399,0.84764,0.62756,0.77882,0.0001388,0.0001388,0.0001388
96,106.305,0.66137,0.63116,0.78177,0.87804,0.81815,0.89153,0.63815,0.84353,0.5942,0.77763,0.000119,0.000119,0.000119
97,107.438,0.70514,0.65783,0.76906,0.85838,0.81818,0.90323,0.63913,0.85244,0.57811,0.77614,9.92e-05,9.92e-05,9.92e-05
98,108.476,0.64116,0.59958,0.78797,0.90164,0.83343,0.90712,0.64611,0.84768,0.55867,0.772,7.94e-05,7.94e-05,7.94e-05
99,109.39,0.67972,0.64174,0.76451,0.90145,0.83171,0.90802,0.64884,0.85453,0.56716,0.77072,5.96e-05,5.96e-05,5.96e-05
100,110.3,0.69773,0.61279,0.76299,0.90139,0.83112,0.9052,0.6618,0.84651,0.56758,0.7705,3.98e-05,3.98e-05,3.98e-05
